Observation id,Observation date,Description,Observation duration,Observation type,Source,Media duration (s),FPS,Subject,Behavior,Behavioral category,Behavior type,Time,Media file name,Image index,Image file path,Comment
4034 prebonding novel,2023-07-27 12:47:58,,1979.466,Media file(s),player #1:Z:/Kathleen Murphy/PFC Sync/Cohort 2/Raw Data/Before Bonding/Prebonding_Novels_4040_4034_Partners_4043_3660/video1_2021-04-28T14_12_30.avi,2634.667,30.0,Fiber1,Prosocial,,START,655.167,Z:/Kathleen Murphy/PFC Sync/Cohort 2/Raw Data/Before Bonding/Prebonding_Novels_4040_4034_Partners_4043_3660/video1_2021-04-28T14_12_30.avi,19656,,
4034 prebonding novel,2023-07-27 12:47:58,,1979.466,Media file(s),player #1:Z:/Kathleen Murphy/PFC Sync/Cohort 2/Raw Data/Before Bonding/Prebonding_Novels_4040_4034_Partners_4043_3660/video1_2021-04-28T14_12_30.avi,2634.667,30.0,Fiber1,Nonsocial,,START,663.2,Z:/Kathleen Murphy/PFC Sync/Cohort 2/Raw Data/Before Bonding/Prebonding_Novels_4040_4034_Partners_4043_3660/video1_2021-04-28T14_12_30.avi,19897,,
4034 prebonding novel,2023-07-27 12:47:58,,1979.466,Media file(s),player #1:Z:/Kathleen Murphy/PFC Sync/Cohort 2/Raw Data/Before Bonding/Prebonding_Novels_4040_4034_Partners_4043_3660/video1_2021-04-28T14_12_30.avi,2634.667,30.0,Fiber1,Prosocial,,STOP,663.2,Z:/Kathleen Murphy/PFC Sync/Cohort 2/Raw Data/Before Bonding/Prebonding_Novels_4040_4034_Partners_4043_3660/video1_2021-04-28T14_12_30.avi,19897,,
4034 prebonding novel,2023-07-27 12:47:58,,1979.466,Media file(s),player #1:Z:/Kathleen Murphy/PFC Sync/Cohort 2/Raw Data/Before Bonding/Prebonding_Novels_4040_4034_Partners_4043_3660/video1_2021-04-28T14_12_30.avi,2634.667,30.0,Fiber1,Nonsocial,,STOP,669.633,Z:/Kathleen Murphy/PFC Sync/Cohort 2/Raw Data/Before Bonding/Prebonding_Novels_4040_4034_Partners_4043_3660/video1_2021-04-28T14_12_30.avi,20090,,
4034 prebonding novel,2023-07-27 12:47:58,,1979.466,Media file(s),player #1:Z:/Kathleen Murphy/PFC Sync/Cohort 2/Raw Data/Before Bonding/Prebonding_Novels_4040_4034_Partners_4043_3660/video1_2021-04-28T14_12_30.avi,2634.667,30.0,Fiber1,Prosocial,,START,669.633,Z:/Kathleen Murphy/PFC Sync/Cohort 2/Raw Data/Before Bonding/Prebonding_Novels_4040_4034_Partners_4043_3660/video1_2021-04-28T14_12_30.avi,20090,,
4034 prebonding novel,2023-07-27 12:47:58,,1979.466,Media file(s),player #1:Z:/Kathleen Murphy/PFC Sync/Cohort 2/Raw Data/Before Bonding/Prebonding_Novels_4040_4034_Partners_4043_3660/video1_2021-04-28T14_12_30.avi,2634.667,30.0,Fiber1,Nonsocial,,START,679.233,Z:/Kathleen Murphy/PFC Sync/Cohort 2/Raw Data/Before Bonding/Prebonding_Novels_4040_4034_Partners_4043_3660/video1_2021-04-28T14_12_30.avi,20378,,
4034 prebonding novel,2023-07-27 12:47:58,,1979.466,Media file(s),player #1:Z:/Kathleen Murphy/PFC Sync/Cohort 2/Raw Data/Before Bonding/Prebonding_Novels_4040_4034_Partners_4043_3660/video1_2021-04-28T14_12_30.avi,2634.667,30.0,Fiber1,Prosocial,,STOP,679.233,Z:/Kathleen Murphy/PFC Sync/Cohort 2/Raw Data/Before Bonding/Prebonding_Novels_4040_4034_Partners_4043_3660/video1_2021-04-28T14_12_30.avi,20378,,
4034 prebonding novel,2023-07-27 12:47:58,,1979.466,Media file(s),player #1:Z:/Kathleen Murphy/PFC Sync/Cohort 2/Raw Data/Before Bonding/Prebonding_Novels_4040_4034_Partners_4043_3660/video1_2021-04-28T14_12_30.avi,2634.667,30.0,Fiber1,Cautious,,START,689.733,Z:/Kathleen Murphy/PFC Sync/Cohort 2/Raw Data/Before Bonding/Prebonding_Novels_4040_4034_Partners_4043_3660/video1_2021-04-28T14_12_30.avi,20693,,
4034 prebonding novel,2023-07-27 12:47:58,,1979.466,Media file(s),player #1:Z:/Kathleen Murphy/PFC Sync/Cohort 2/Raw Data/Before Bonding/Prebonding_Novels_4040_4034_Partners_4043_3660/video1_2021-04-28T14_12_30.avi,2634.667,30.0,Fiber1,Nonsocial,,STOP,689.733,Z:/Kathleen Murphy/PFC Sync/Cohort 2/Raw Data/Before Bonding/Prebonding_Novels_4040_4034_Partners_4043_3660/video1_2021-04-28T14_12_30.avi,20693,,
4034 prebonding novel,2023-07-27 12:47:58,,1979.466,Media file(s),player #1:Z:/Kathleen Murphy/PFC Sync/Cohort 2/Raw Data/Before Bonding/Prebonding_Novels_4040_4034_Partners_4043_3660/video1_2021-04-28T14_12_30.avi,2634.667,30.0,Fiber1,Cautious,,STOP,690.433,Z:/Kathleen Murphy/PFC Sync/Cohort 2/Raw Data/Before Bonding/Prebonding_Novels_4040_4034_Partners_4043_3660/video1_2021-04-28T14_12_30.avi,20714,,
