Observation id	Observation date	Description	Media file	Total length	FPS	Subject	Behavior	Behavioral category	Modifiers	Behavior type	Start (s)	Stop (s)	Duration (s)	Comment start	Comment stop
5546_1215_135620	2022-12-26 20:58:00	First hour of cohousing	C:/miniscopeData/5546/2022_12_15/13_56_20_record/12152022_cohabitation_5546/cleversys/mergedVideo_minicam1.avi	3379.440	50.0	No focal subject	grooming	Affiliative	Grooming self	STATE	1813.500	1816.360	2.860		
5546_1215_135620	2022-12-26 20:58:00	First hour of cohousing	C:/miniscopeData/5546/2022_12_15/13_56_20_record/12152022_cohabitation_5546/cleversys/mergedVideo_minicam1.avi	3379.440	50.0	No focal subject	grooming	Affiliative	Grooming self	STATE	1828.280	1832.000	3.720		
5546_1215_135620	2022-12-26 20:58:00	First hour of cohousing	C:/miniscopeData/5546/2022_12_15/13_56_20_record/12152022_cohabitation_5546/cleversys/mergedVideo_minicam1.avi	3379.440	50.0	No focal subject	noncontact investigation	Investigation	Initiating	STATE	1876.200	1891.100	14.900		
5546_1215_135620	2022-12-26 20:58:00	First hour of cohousing	C:/miniscopeData/5546/2022_12_15/13_56_20_record/12152022_cohabitation_5546/cleversys/mergedVideo_minicam1.avi	3379.440	50.0	No focal subject	noncontact investigation	Investigation	Receiving	STATE	1897.740	1900.620	2.880		
5546_1215_135620	2022-12-26 20:58:00	First hour of cohousing	C:/miniscopeData/5546/2022_12_15/13_56_20_record/12152022_cohabitation_5546/cleversys/mergedVideo_minicam1.avi	3379.440	50.0	No focal subject	lunge or bite	Aggressive		POINT	1912.940	1912.940	NA		
5546_1215_135620	2022-12-26 20:58:00	First hour of cohousing	C:/miniscopeData/5546/2022_12_15/13_56_20_record/12152022_cohabitation_5546/cleversys/mergedVideo_minicam1.avi	3379.440	50.0	No focal subject	noncontact investigation	Investigation	Initiating	STATE	1916.980	1919.140	2.160		
5546_1215_135620	2022-12-26 20:58:00	First hour of cohousing	C:/miniscopeData/5546/2022_12_15/13_56_20_record/12152022_cohabitation_5546/cleversys/mergedVideo_minicam1.avi	3379.440	50.0	No focal subject	noncontact investigation	Investigation	Both	STATE	1939.800	1941.720	1.920		
5546_1215_135620	2022-12-26 20:58:00	First hour of cohousing	C:/miniscopeData/5546/2022_12_15/13_56_20_record/12152022_cohabitation_5546/cleversys/mergedVideo_minicam1.avi	3379.440	50.0	No focal subject	noncontact investigation	Investigation	Receiving	STATE	1949.380	1952.900	3.520		
5546_1215_135620	2022-12-26 20:58:00	First hour of cohousing	C:/miniscopeData/5546/2022_12_15/13_56_20_record/12152022_cohabitation_5546/cleversys/mergedVideo_minicam1.avi	3379.440	50.0	No focal subject	noncontact investigation	Investigation	Initiating	STATE	1954.920	1959.500	4.580		
5546_1215_135620	2022-12-26 20:58:00	First hour of cohousing	C:/miniscopeData/5546/2022_12_15/13_56_20_record/12152022_cohabitation_5546/cleversys/mergedVideo_minicam1.avi	3379.440	50.0	No focal subject	grooming	Affiliative	Grooming self	STATE	1966.340	1967.840	1.500		
5546_1215_135620	2022-12-26 20:58:00	First hour of cohousing	C:/miniscopeData/5546/2022_12_15/13_56_20_record/12152022_cohabitation_5546/cleversys/mergedVideo_minicam1.avi	3379.440	50.0	No focal subject	grooming	Affiliative	Grooming self	STATE	1973.860	1975.500	1.640		
5546_1215_135620	2022-12-26 20:58:00	First hour of cohousing	C:/miniscopeData/5546/2022_12_15/13_56_20_record/12152022_cohabitation_5546/cleversys/mergedVideo_minicam1.avi	3379.440	50.0	No focal subject	noncontact investigation	Investigation	Receiving	STATE	1995.920	1998.760	2.840		
5546_1215_135620	2022-12-26 20:58:00	First hour of cohousing	C:/miniscopeData/5546/2022_12_15/13_56_20_record/12152022_cohabitation_5546/cleversys/mergedVideo_minicam1.avi	3379.440	50.0	No focal subject	noncontact investigation	Investigation	Initiating	STATE	2028.280	2029.980	1.700		
5546_1215_135620	2022-12-26 20:58:00	First hour of cohousing	C:/miniscopeData/5546/2022_12_15/13_56_20_record/12152022_cohabitation_5546/cleversys/mergedVideo_minicam1.avi	3379.440	50.0	No focal subject	noncontact investigation	Investigation	Initiating	STATE	2031.080	2032.300	1.220		
5546_1215_135620	2022-12-26 20:58:00	First hour of cohousing	C:/miniscopeData/5546/2022_12_15/13_56_20_record/12152022_cohabitation_5546/cleversys/mergedVideo_minicam1.avi	3379.440	50.0	No focal subject	food (eating			STATE	2041.340	2044.360	3.020		
5546_1215_135620	2022-12-26 20:58:00	First hour of cohousing	C:/miniscopeData/5546/2022_12_15/13_56_20_record/12152022_cohabitation_5546/cleversys/mergedVideo_minicam1.avi	3379.440	50.0	No focal subject	noncontact investigation	Investigation	Both	STATE	2123.820	2130.600	6.780		
5546_1215_135620	2022-12-26 20:58:00	First hour of cohousing	C:/miniscopeData/5546/2022_12_15/13_56_20_record/12152022_cohabitation_5546/cleversys/mergedVideo_minicam1.avi	3379.440	50.0	No focal subject	contact investigation	Affiliative	Initiating	STATE	2130.600	2132.000	1.400		
5546_1215_135620	2022-12-26 20:58:00	First hour of cohousing	C:/miniscopeData/5546/2022_12_15/13_56_20_record/12152022_cohabitation_5546/cleversys/mergedVideo_minicam1.avi	3379.440	50.0	No focal subject	mount	Affiliative		POINT	2132.000	2132.000	NA		
5546_1215_135620	2022-12-26 20:58:00	First hour of cohousing	C:/miniscopeData/5546/2022_12_15/13_56_20_record/12152022_cohabitation_5546/cleversys/mergedVideo_minicam1.avi	3379.440	50.0	No focal subject	intromission	Affiliative		POINT	2132.100	2132.100	NA		
5546_1215_135620	2022-12-26 20:58:00	First hour of cohousing	C:/miniscopeData/5546/2022_12_15/13_56_20_record/12152022_cohabitation_5546/cleversys/mergedVideo_minicam1.avi	3379.440	50.0	No focal subject	intromission	Affiliative		POINT	2134.360	2134.360	NA		
5546_1215_135620	2022-12-26 20:58:00	First hour of cohousing	C:/miniscopeData/5546/2022_12_15/13_56_20_record/12152022_cohabitation_5546/cleversys/mergedVideo_minicam1.avi	3379.440	50.0	No focal subject	intromission	Affiliative		POINT	2135.360	2135.360	NA		
5546_1215_135620	2022-12-26 20:58:00	First hour of cohousing	C:/miniscopeData/5546/2022_12_15/13_56_20_record/12152022_cohabitation_5546/cleversys/mergedVideo_minicam1.avi	3379.440	50.0	No focal subject	intromission	Affiliative		POINT	2136.340	2136.340	NA		
5546_1215_135620	2022-12-26 20:58:00	First hour of cohousing	C:/miniscopeData/5546/2022_12_15/13_56_20_record/12152022_cohabitation_5546/cleversys/mergedVideo_minicam1.avi	3379.440	50.0	No focal subject	ejaculation	Affiliative		POINT	2136.440	2136.440	NA		
5546_1215_135620	2022-12-26 20:58:00	First hour of cohousing	C:/miniscopeData/5546/2022_12_15/13_56_20_record/12152022_cohabitation_5546/cleversys/mergedVideo_minicam1.avi	3379.440	50.0	No focal subject	noncontact investigation	Investigation	Initiating	STATE	2138.320	2141.140	2.820		
5546_1215_135620	2022-12-26 20:58:00	First hour of cohousing	C:/miniscopeData/5546/2022_12_15/13_56_20_record/12152022_cohabitation_5546/cleversys/mergedVideo_minicam1.avi	3379.440	50.0	No focal subject	noncontact investigation	Investigation	Initiating	STATE	2141.820	2143.840	2.020		
5546_1215_135620	2022-12-26 20:58:00	First hour of cohousing	C:/miniscopeData/5546/2022_12_15/13_56_20_record/12152022_cohabitation_5546/cleversys/mergedVideo_minicam1.avi	3379.440	50.0	No focal subject	noncontact investigation	Investigation	Initiating	STATE	2151.760	2154.040	2.280		
5546_1215_135620	2022-12-26 20:58:00	First hour of cohousing	C:/miniscopeData/5546/2022_12_15/13_56_20_record/12152022_cohabitation_5546/cleversys/mergedVideo_minicam1.avi	3379.440	50.0	No focal subject	noncontact investigation	Investigation	Initiating	STATE	2155.960	2157.340	1.380		
5546_1215_135620	2022-12-26 20:58:00	First hour of cohousing	C:/miniscopeData/5546/2022_12_15/13_56_20_record/12152022_cohabitation_5546/cleversys/mergedVideo_minicam1.avi	3379.440	50.0	No focal subject	noncontact investigation	Investigation	Initiating	STATE	2158.060	2161.360	3.300		
5546_1215_135620	2022-12-26 20:58:00	First hour of cohousing	C:/miniscopeData/5546/2022_12_15/13_56_20_record/12152022_cohabitation_5546/cleversys/mergedVideo_minicam1.avi	3379.440	50.0	No focal subject	mount	Affiliative		POINT	2162.200	2162.200	NA		
5546_1215_135620	2022-12-26 20:58:00	First hour of cohousing	C:/miniscopeData/5546/2022_12_15/13_56_20_record/12152022_cohabitation_5546/cleversys/mergedVideo_minicam1.avi	3379.440	50.0	No focal subject	intromission	Affiliative		POINT	2162.520	2162.520	NA		
5546_1215_135620	2022-12-26 20:58:00	First hour of cohousing	C:/miniscopeData/5546/2022_12_15/13_56_20_record/12152022_cohabitation_5546/cleversys/mergedVideo_minicam1.avi	3379.440	50.0	No focal subject	intromission	Affiliative		POINT	2165.980	2165.980	NA		
5546_1215_135620	2022-12-26 20:58:00	First hour of cohousing	C:/miniscopeData/5546/2022_12_15/13_56_20_record/12152022_cohabitation_5546/cleversys/mergedVideo_minicam1.avi	3379.440	50.0	No focal subject	intromission	Affiliative		POINT	2167.840	2167.840	NA		
5546_1215_135620	2022-12-26 20:58:00	First hour of cohousing	C:/miniscopeData/5546/2022_12_15/13_56_20_record/12152022_cohabitation_5546/cleversys/mergedVideo_minicam1.avi	3379.440	50.0	No focal subject	intromission	Affiliative		POINT	2169.640	2169.640	NA		
5546_1215_135620	2022-12-26 20:58:00	First hour of cohousing	C:/miniscopeData/5546/2022_12_15/13_56_20_record/12152022_cohabitation_5546/cleversys/mergedVideo_minicam1.avi	3379.440	50.0	No focal subject	intromission	Affiliative		POINT	2171.140	2171.140	NA		
5546_1215_135620	2022-12-26 20:58:00	First hour of cohousing	C:/miniscopeData/5546/2022_12_15/13_56_20_record/12152022_cohabitation_5546/cleversys/mergedVideo_minicam1.avi	3379.440	50.0	No focal subject	intromission	Affiliative		POINT	2173.200	2173.200	NA		
5546_1215_135620	2022-12-26 20:58:00	First hour of cohousing	C:/miniscopeData/5546/2022_12_15/13_56_20_record/12152022_cohabitation_5546/cleversys/mergedVideo_minicam1.avi	3379.440	50.0	No focal subject	intromission	Affiliative		POINT	2175.060	2175.060	NA		
5546_1215_135620	2022-12-26 20:58:00	First hour of cohousing	C:/miniscopeData/5546/2022_12_15/13_56_20_record/12152022_cohabitation_5546/cleversys/mergedVideo_minicam1.avi	3379.440	50.0	No focal subject	ejaculation	Affiliative		POINT	2176.880	2176.880	NA		
5546_1215_135620	2022-12-26 20:58:00	First hour of cohousing	C:/miniscopeData/5546/2022_12_15/13_56_20_record/12152022_cohabitation_5546/cleversys/mergedVideo_minicam1.avi	3379.440	50.0	No focal subject	grooming	Affiliative	Grooming self	STATE	2177.420	2183.280	5.860		
5546_1215_135620	2022-12-26 20:58:00	First hour of cohousing	C:/miniscopeData/5546/2022_12_15/13_56_20_record/12152022_cohabitation_5546/cleversys/mergedVideo_minicam1.avi	3379.440	50.0	No focal subject	noncontact investigation	Investigation	Initiating	STATE	2194.520	2196.980	2.460		
5546_1215_135620	2022-12-26 20:58:00	First hour of cohousing	C:/miniscopeData/5546/2022_12_15/13_56_20_record/12152022_cohabitation_5546/cleversys/mergedVideo_minicam1.avi	3379.440	50.0	No focal subject	mount	Affiliative		POINT	2196.980	2196.980	NA		
5546_1215_135620	2022-12-26 20:58:00	First hour of cohousing	C:/miniscopeData/5546/2022_12_15/13_56_20_record/12152022_cohabitation_5546/cleversys/mergedVideo_minicam1.avi	3379.440	50.0	No focal subject	intromission	Affiliative		POINT	2197.580	2197.580	NA		
5546_1215_135620	2022-12-26 20:58:00	First hour of cohousing	C:/miniscopeData/5546/2022_12_15/13_56_20_record/12152022_cohabitation_5546/cleversys/mergedVideo_minicam1.avi	3379.440	50.0	No focal subject	intromission	Affiliative		POINT	2199.440	2199.440	NA		
5546_1215_135620	2022-12-26 20:58:00	First hour of cohousing	C:/miniscopeData/5546/2022_12_15/13_56_20_record/12152022_cohabitation_5546/cleversys/mergedVideo_minicam1.avi	3379.440	50.0	No focal subject	intromission	Affiliative		POINT	2200.340	2200.340	NA		
5546_1215_135620	2022-12-26 20:58:00	First hour of cohousing	C:/miniscopeData/5546/2022_12_15/13_56_20_record/12152022_cohabitation_5546/cleversys/mergedVideo_minicam1.avi	3379.440	50.0	No focal subject	intromission	Affiliative		POINT	2202.300	2202.300	NA		
5546_1215_135620	2022-12-26 20:58:00	First hour of cohousing	C:/miniscopeData/5546/2022_12_15/13_56_20_record/12152022_cohabitation_5546/cleversys/mergedVideo_minicam1.avi	3379.440	50.0	No focal subject	intromission	Affiliative		POINT	2204.140	2204.140	NA		
5546_1215_135620	2022-12-26 20:58:00	First hour of cohousing	C:/miniscopeData/5546/2022_12_15/13_56_20_record/12152022_cohabitation_5546/cleversys/mergedVideo_minicam1.avi	3379.440	50.0	No focal subject	intromission	Affiliative		POINT	2206.020	2206.020	NA		
5546_1215_135620	2022-12-26 20:58:00	First hour of cohousing	C:/miniscopeData/5546/2022_12_15/13_56_20_record/12152022_cohabitation_5546/cleversys/mergedVideo_minicam1.avi	3379.440	50.0	No focal subject	intromission	Affiliative		POINT	2207.760	2207.760	NA		
5546_1215_135620	2022-12-26 20:58:00	First hour of cohousing	C:/miniscopeData/5546/2022_12_15/13_56_20_record/12152022_cohabitation_5546/cleversys/mergedVideo_minicam1.avi	3379.440	50.0	No focal subject	intromission	Affiliative		POINT	2209.720	2209.720	NA		
5546_1215_135620	2022-12-26 20:58:00	First hour of cohousing	C:/miniscopeData/5546/2022_12_15/13_56_20_record/12152022_cohabitation_5546/cleversys/mergedVideo_minicam1.avi	3379.440	50.0	No focal subject	intromission	Affiliative		POINT	2211.840	2211.840	NA		
5546_1215_135620	2022-12-26 20:58:00	First hour of cohousing	C:/miniscopeData/5546/2022_12_15/13_56_20_record/12152022_cohabitation_5546/cleversys/mergedVideo_minicam1.avi	3379.440	50.0	No focal subject	intromission	Affiliative		POINT	2213.940	2213.940	NA		
5546_1215_135620	2022-12-26 20:58:00	First hour of cohousing	C:/miniscopeData/5546/2022_12_15/13_56_20_record/12152022_cohabitation_5546/cleversys/mergedVideo_minicam1.avi	3379.440	50.0	No focal subject	intromission	Affiliative		POINT	2216.100	2216.100	NA		
5546_1215_135620	2022-12-26 20:58:00	First hour of cohousing	C:/miniscopeData/5546/2022_12_15/13_56_20_record/12152022_cohabitation_5546/cleversys/mergedVideo_minicam1.avi	3379.440	50.0	No focal subject	intromission	Affiliative		POINT	2218.400	2218.400	NA		
5546_1215_135620	2022-12-26 20:58:00	First hour of cohousing	C:/miniscopeData/5546/2022_12_15/13_56_20_record/12152022_cohabitation_5546/cleversys/mergedVideo_minicam1.avi	3379.440	50.0	No focal subject	ejaculation	Affiliative		POINT	2220.480	2220.480	NA		
5546_1215_135620	2022-12-26 20:58:00	First hour of cohousing	C:/miniscopeData/5546/2022_12_15/13_56_20_record/12152022_cohabitation_5546/cleversys/mergedVideo_minicam1.avi	3379.440	50.0	No focal subject	grooming	Affiliative	Grooming self	STATE	2221.320	2225.020	3.700		
5546_1215_135620	2022-12-26 20:58:00	First hour of cohousing	C:/miniscopeData/5546/2022_12_15/13_56_20_record/12152022_cohabitation_5546/cleversys/mergedVideo_minicam1.avi	3379.440	50.0	No focal subject	noncontact investigation	Investigation	Initiating	STATE	2225.120	2227.120	2.000		
5546_1215_135620	2022-12-26 20:58:00	First hour of cohousing	C:/miniscopeData/5546/2022_12_15/13_56_20_record/12152022_cohabitation_5546/cleversys/mergedVideo_minicam1.avi	3379.440	50.0	No focal subject	noncontact investigation	Investigation	Initiating	STATE	2228.100	2232.080	3.980		
5546_1215_135620	2022-12-26 20:58:00	First hour of cohousing	C:/miniscopeData/5546/2022_12_15/13_56_20_record/12152022_cohabitation_5546/cleversys/mergedVideo_minicam1.avi	3379.440	50.0	No focal subject	mount	Affiliative		POINT	2232.080	2232.080	NA		
5546_1215_135620	2022-12-26 20:58:00	First hour of cohousing	C:/miniscopeData/5546/2022_12_15/13_56_20_record/12152022_cohabitation_5546/cleversys/mergedVideo_minicam1.avi	3379.440	50.0	No focal subject	intromission	Affiliative		POINT	2232.380	2232.380	NA		
5546_1215_135620	2022-12-26 20:58:00	First hour of cohousing	C:/miniscopeData/5546/2022_12_15/13_56_20_record/12152022_cohabitation_5546/cleversys/mergedVideo_minicam1.avi	3379.440	50.0	No focal subject	intromission	Affiliative		POINT	2235.280	2235.280	NA		
5546_1215_135620	2022-12-26 20:58:00	First hour of cohousing	C:/miniscopeData/5546/2022_12_15/13_56_20_record/12152022_cohabitation_5546/cleversys/mergedVideo_minicam1.avi	3379.440	50.0	No focal subject	intromission	Affiliative		POINT	2237.140	2237.140	NA		
5546_1215_135620	2022-12-26 20:58:00	First hour of cohousing	C:/miniscopeData/5546/2022_12_15/13_56_20_record/12152022_cohabitation_5546/cleversys/mergedVideo_minicam1.avi	3379.440	50.0	No focal subject	intromission	Affiliative		POINT	2238.800	2238.800	NA		
5546_1215_135620	2022-12-26 20:58:00	First hour of cohousing	C:/miniscopeData/5546/2022_12_15/13_56_20_record/12152022_cohabitation_5546/cleversys/mergedVideo_minicam1.avi	3379.440	50.0	No focal subject	intromission	Affiliative		POINT	2240.680	2240.680	NA		
5546_1215_135620	2022-12-26 20:58:00	First hour of cohousing	C:/miniscopeData/5546/2022_12_15/13_56_20_record/12152022_cohabitation_5546/cleversys/mergedVideo_minicam1.avi	3379.440	50.0	No focal subject	intromission	Affiliative		POINT	2242.660	2242.660	NA		
5546_1215_135620	2022-12-26 20:58:00	First hour of cohousing	C:/miniscopeData/5546/2022_12_15/13_56_20_record/12152022_cohabitation_5546/cleversys/mergedVideo_minicam1.avi	3379.440	50.0	No focal subject	intromission	Affiliative		POINT	2244.380	2244.380	NA		
5546_1215_135620	2022-12-26 20:58:00	First hour of cohousing	C:/miniscopeData/5546/2022_12_15/13_56_20_record/12152022_cohabitation_5546/cleversys/mergedVideo_minicam1.avi	3379.440	50.0	No focal subject	intromission	Affiliative		POINT	2246.400	2246.400	NA		
5546_1215_135620	2022-12-26 20:58:00	First hour of cohousing	C:/miniscopeData/5546/2022_12_15/13_56_20_record/12152022_cohabitation_5546/cleversys/mergedVideo_minicam1.avi	3379.440	50.0	No focal subject	intromission	Affiliative		POINT	2248.580	2248.580	NA		
5546_1215_135620	2022-12-26 20:58:00	First hour of cohousing	C:/miniscopeData/5546/2022_12_15/13_56_20_record/12152022_cohabitation_5546/cleversys/mergedVideo_minicam1.avi	3379.440	50.0	No focal subject	intromission	Affiliative		POINT	2250.320	2250.320	NA		
5546_1215_135620	2022-12-26 20:58:00	First hour of cohousing	C:/miniscopeData/5546/2022_12_15/13_56_20_record/12152022_cohabitation_5546/cleversys/mergedVideo_minicam1.avi	3379.440	50.0	No focal subject	ejaculation	Affiliative		POINT	2258.320	2258.320	NA		
