Observation id	Observation date	Description	Media file	Total length	FPS	Subject	Behavior	Behavioral category	Modifiers	Behavior type	Start (s)	Stop (s)	Duration (s)	Comment start	Comment stop
5546_1215_135620	2022-12-26 20:58:00	First hour of cohousing	C:/miniscopeData/5546/2022_12_15/13_56_20_record/12152022_cohabitation_5546/cleversys/mergedVideo_minicam1.avi	3379.440	50.0	No focal subject	grooming	Affiliative	Grooming self	STATE	2262.360	2267.220	4.860		
5546_1215_135620	2022-12-26 20:58:00	First hour of cohousing	C:/miniscopeData/5546/2022_12_15/13_56_20_record/12152022_cohabitation_5546/cleversys/mergedVideo_minicam1.avi	3379.440	50.0	No focal subject	grooming	Affiliative	Grooming self	STATE	2278.180	2285.240	7.060		
5546_1215_135620	2022-12-26 20:58:00	First hour of cohousing	C:/miniscopeData/5546/2022_12_15/13_56_20_record/12152022_cohabitation_5546/cleversys/mergedVideo_minicam1.avi	3379.440	50.0	No focal subject	grooming	Affiliative	Grooming self	STATE	2309.740	2317.180	7.440		
5546_1215_135620	2022-12-26 20:58:00	First hour of cohousing	C:/miniscopeData/5546/2022_12_15/13_56_20_record/12152022_cohabitation_5546/cleversys/mergedVideo_minicam1.avi	3379.440	50.0	No focal subject	noncontact investigation	Investigation	Initiating	STATE	2324.580	2326.580	2.000		
5546_1215_135620	2022-12-26 20:58:00	First hour of cohousing	C:/miniscopeData/5546/2022_12_15/13_56_20_record/12152022_cohabitation_5546/cleversys/mergedVideo_minicam1.avi	3379.440	50.0	No focal subject	grooming	Affiliative	Grooming self	STATE	2329.520	2344.120	14.600		
5546_1215_135620	2022-12-26 20:58:00	First hour of cohousing	C:/miniscopeData/5546/2022_12_15/13_56_20_record/12152022_cohabitation_5546/cleversys/mergedVideo_minicam1.avi	3379.440	50.0	No focal subject	grooming	Affiliative	Grooming self	STATE	2347.560	2383.180	35.620		
5546_1215_135620	2022-12-26 20:58:00	First hour of cohousing	C:/miniscopeData/5546/2022_12_15/13_56_20_record/12152022_cohabitation_5546/cleversys/mergedVideo_minicam1.avi	3379.440	50.0	No focal subject	noncontact investigation	Investigation	Initiating	STATE	2387.200	2398.100	10.900		
5546_1215_135620	2022-12-26 20:58:00	First hour of cohousing	C:/miniscopeData/5546/2022_12_15/13_56_20_record/12152022_cohabitation_5546/cleversys/mergedVideo_minicam1.avi	3379.440	50.0	No focal subject	noncontact investigation	Investigation	Initiating	STATE	2400.220	2404.000	3.780		
5546_1215_135620	2022-12-26 20:58:00	First hour of cohousing	C:/miniscopeData/5546/2022_12_15/13_56_20_record/12152022_cohabitation_5546/cleversys/mergedVideo_minicam1.avi	3379.440	50.0	No focal subject	noncontact investigation	Investigation	Receiving	STATE	2454.740	2457.600	2.860		
5546_1215_135620	2022-12-26 20:58:00	First hour of cohousing	C:/miniscopeData/5546/2022_12_15/13_56_20_record/12152022_cohabitation_5546/cleversys/mergedVideo_minicam1.avi	3379.440	50.0	No focal subject	grooming	Affiliative	Grooming self	STATE	2463.300	2466.480	3.180		
